target	status	blob	size	source	commit	path
local-github-agentic-loop-pack/skills/ai-sdk/references/ai-gateway.md	MATCH	8bb2d66ff45d193e8dd4f8144d51c15db8c80dcf	2191	vercel-plugin	1e821f3087d6d52b06b918d39d57345e2e4f3cf8	skills/ai-sdk/references/ai-gateway.md
local-github-agentic-loop-pack/skills/ai-sdk/references/common-errors.md	MATCH	529521ebec8f31164bbaf3e1c744c60c8ea3f4c0	11034	vercel-plugin	1e821f3087d6d52b06b918d39d57345e2e4f3cf8	skills/ai-sdk/references/common-errors.md
local-github-agentic-loop-pack/skills/ai-sdk/references/devtools.md	MATCH	197e203ad4ffad88743b1a5dda4910fdb5475728	1199	vercel-plugin	1e821f3087d6d52b06b918d39d57345e2e4f3cf8	skills/ai-sdk/references/devtools.md
local-github-agentic-loop-pack/skills/ai-sdk/references/providers.md	MATCH	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	0	anthropic-skills	b29e7cf65e5cb78a5ac33d582270551bc74a14eb	skills/pptx/scripts/__init__.py
local-github-agentic-loop-pack/skills/ai-sdk/references/type-safe-agents.md	MATCH	17d7a6fdc5edcda9cd39c87f4f80f686c9fea29e	5323	vercel-plugin	1e821f3087d6d52b06b918d39d57345e2e4f3cf8	skills/ai-sdk/references/type-safe-agents.md
local-github-agentic-loop-pack/skills/answers-ask-user-input/SKILL.md	MATCH_CODE_SEARCH	9727d2ed00b1b221393972bb538ee5667a25234f	4749	XiaomiMiMo/MiMo-Code	9727d2ed00b1b221393972bb538ee5667a25234f	packages/opencode/src/skill/builtin/.bundle/sales/workflows/answers-ask-user-input/SKILL.md
local-github-agentic-loop-pack/skills/control-browser/SKILL.md	UNMATCHED	e846212247dc5e196b4c373681e5b353138d4dad	5483			
local-github-agentic-loop-pack/skills/eve/SKILL.md	MATCH_CODE_SEARCH	813f1d95552904e81defd00f4c72d7b76723ae2f	4654	AarnavBaddam/skills	813f1d95552904e81defd00f4c72d7b76723ae2f	eve/SKILL.md
local-github-agentic-loop-pack/skills/eve/agents/openai.yaml	MATCH_CODE_SEARCH	76fa34f5dc378b97554efc5ae40d4a3461d25510	97	AarnavBaddam/skills	76fa34f5dc378b97554efc5ae40d4a3461d25510	eve/agents/openai.yaml
local-github-agentic-loop-pack/skills/gh-address-comments/LICENSE.txt	MATCH	7a4a3ea2424c09fbe48d455aed1eaa94d9124835	11357	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/LICENSE.txt
local-github-agentic-loop-pack/skills/gh-address-comments/SKILL.md	MATCH_CODE_SEARCH	02eb67b1049532a697fa14fa71c09f14d5a46d5c	3536	NexWan/ai-skills	02eb67b1049532a697fa14fa71c09f14d5a46d5c	gh-address-comments/SKILL.md
local-github-agentic-loop-pack/skills/gh-address-comments/agents/openai.yaml	MATCH	e39f3f9dfcda335fa4e6a6bc2b6debeeacfbf836	325	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/agents/openai.yaml
local-github-agentic-loop-pack/skills/gh-address-comments/assets/github-small.svg	MATCH	828e9d9d1d29e1a525a1aeee5eb1e4162249c77e	853	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/assets/github-small.svg
local-github-agentic-loop-pack/skills/gh-address-comments/assets/github.png	MATCH	e23dbe59099a594c06a46081ce48b82aa409b0e7	1838	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/assets/github.png
local-github-agentic-loop-pack/skills/gh-address-comments/scripts/fetch_comments.py	MATCH	09b9c01c50d9202bd6455ce36887e08be92ac1ae	6537	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/scripts/fetch_comments.py
local-github-agentic-loop-pack/skills/gh-fix-ci/LICENSE.txt	MATCH	13e25df86ce06eb6488e6a6bc5c5847f5dedc352	10776	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/imagegen/LICENSE.txt
local-github-agentic-loop-pack/skills/gh-fix-ci/SKILL.md	MATCH_CODE_SEARCH	47c9cbaa6315aa19af53974299af8a8ea12c8dba	4326	NexWan/ai-skills	47c9cbaa6315aa19af53974299af8a8ea12c8dba	gh-fix-ci/SKILL.md
local-github-agentic-loop-pack/skills/gh-fix-ci/agents/openai.yaml	MATCH	83aca50fbb6aab5cc6d7d9f5497ac6c04faa8696	330	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-fix-ci/agents/openai.yaml
local-github-agentic-loop-pack/skills/gh-fix-ci/assets/github-small.svg	MATCH	828e9d9d1d29e1a525a1aeee5eb1e4162249c77e	853	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/assets/github-small.svg
local-github-agentic-loop-pack/skills/gh-fix-ci/assets/github.png	MATCH	e23dbe59099a594c06a46081ce48b82aa409b0e7	1838	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/assets/github.png
local-github-agentic-loop-pack/skills/gh-fix-ci/scripts/inspect_pr_checks.py	MATCH	06cd03c5fc61c784d082e1c25a533c94e0912b3f	15222	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-fix-ci/scripts/inspect_pr_checks.py
local-github-agentic-loop-pack/skills/github/SKILL.md	MATCH_CODE_SEARCH	834c2b38e198d27759417ad25171da716bd77af0	4356	Muahd1b/Skills_for_use	834c2b38e198d27759417ad25171da716bd77af0	github/github/SKILL.md
local-github-agentic-loop-pack/skills/github/agents/openai.yaml	MATCH	bb13965e4b11ecc9c1b846f55aea85c3162d4087	318	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/github/agents/openai.yaml
local-github-agentic-loop-pack/skills/github/assets/github-small.svg	MATCH	828e9d9d1d29e1a525a1aeee5eb1e4162249c77e	853	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/assets/github-small.svg
local-github-agentic-loop-pack/skills/github/assets/github.png	MATCH	e23dbe59099a594c06a46081ce48b82aa409b0e7	1838	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/plugin-provided/github/gh-address-comments/assets/github.png
local-github-agentic-loop-pack/skills/investigation-mode/SKILL.md	MATCH_CODE_SEARCH	00b8f15a8e3c3b6ddea97bef74d7f43f31654fae	9306	AarnavBaddam/skills	00b8f15a8e3c3b6ddea97bef74d7f43f31654fae	investigation-mode/SKILL.md
local-github-agentic-loop-pack/skills/investigation-mode/agents/openai.yaml	MATCH_CODE_SEARCH	80569ff5e6ccc8892bf6991ec1eb12f8e9850805	106	AarnavBaddam/skills	80569ff5e6ccc8892bf6991ec1eb12f8e9850805	investigation-mode/agents/openai.yaml
local-github-agentic-loop-pack/skills/openai-docs/LICENSE.txt	MATCH	13e25df86ce06eb6488e6a6bc5c5847f5dedc352	10776	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/imagegen/LICENSE.txt
local-github-agentic-loop-pack/skills/openai-docs/SKILL.md	MATCH_CODE_SEARCH	55d584128dc81ea3373b7bb761ddfe53c3fac877	22806	mistervaibhav/skills	55d584128dc81ea3373b7bb761ddfe53c3fac877	openai-docs/SKILL.md
local-github-agentic-loop-pack/skills/openai-docs/agents/openai.yaml	MATCH	8bbf03c2065aa2e45b288d572506dceb7f16539a	598	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/openai-docs/agents/openai.yaml
local-github-agentic-loop-pack/skills/openai-docs/assets/openai-small.svg	MATCH	1d075dc04f617247747ca8e44f8aa9193e0ab3e6	1091	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/openai-docs/assets/openai-small.svg
local-github-agentic-loop-pack/skills/openai-docs/assets/openai.png	MATCH	e9b9eb80cd90ccdfc7e276b07f4046aa9c9d1887	1429	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/openai-docs/assets/openai.png
local-github-agentic-loop-pack/skills/openai-docs/references/latest-model.md	MATCH_CODE_SEARCH	b3b173d94174f722d09d57e00710143efea5cf22	2365	PracticalSwan/agent-skills	b3b173d94174f722d09d57e00710143efea5cf22	openai-docs/references/latest-model.md
local-github-agentic-loop-pack/skills/openai-docs/references/prompting-guide.md	MATCH_CODE_SEARCH	1b27f709d7196e6a52a3faa60e1b75288e4e747d	17483	PracticalSwan/agent-skills	1b27f709d7196e6a52a3faa60e1b75288e4e747d	openai-docs/references/prompting-guide.md
local-github-agentic-loop-pack/skills/openai-docs/references/upgrade-guide.md	MATCH	8134bc6d5588f4f6dab25e8cd1b88ae51b8f29cd	1050	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/openai-docs/references/upgrade-guide.md
local-github-agentic-loop-pack/skills/openai-docs/references/upgrading-to-gpt-5p6-sol.md	MATCH_CODE_SEARCH	d173f05b27fe877dd959f6bee573675acca29d3e	23398	PracticalSwan/agent-skills	d173f05b27fe877dd959f6bee573675acca29d3e	openai-docs/references/upgrading-to-gpt-5p6-sol.md
local-github-agentic-loop-pack/skills/openai-docs/scripts/fetch-codex-manual.mjs	MATCH	b2605520dc54aa3b71769e90887b9fdf06c97da4	16085	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/openai-docs/scripts/fetch-codex-manual.mjs
local-github-agentic-loop-pack/skills/openai-docs/scripts/resolve-latest-model-info	MATCH	7d00122a37c81a30a7d91d8d74126398975f6493	1038	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/openai-docs/scripts/resolve-latest-model-info
local-github-agentic-loop-pack/skills/openai-docs/scripts/resolve-latest-model-info.cjs	MATCH	498e19d256572dc5a6bf5575ed13de834f0a2787	3937	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/openai-docs/scripts/resolve-latest-model-info.cjs
local-github-agentic-loop-pack/skills/personal-context/SKILL.md	UNMATCHED	dfc88e70902555f9643be87df259bf1f972c16ca	1246			
local-github-agentic-loop-pack/skills/plugin-creator/SKILL.md	MATCH	af960ec50c657682a8227a0f6ee980e5f11fee16	11040	openai-codex	bbcf5e10fb493f0f46e4155455e1b5c4f69cfe63	codex-rs/skills/src/assets/samples/plugin-creator/SKILL.md
local-github-agentic-loop-pack/skills/plugin-creator/agents/openai.yaml	MATCH	19a9a6fc5b08354fad82817971937bb1ee06dbdf	339	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/agents/openai.yaml
local-github-agentic-loop-pack/skills/plugin-creator/assets/plugin-creator-small.svg	MATCH	c6e4f67c624a00705a662dbd0230b8c531180f56	1319	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/assets/plugin-creator-small.svg
local-github-agentic-loop-pack/skills/plugin-creator/assets/plugin-creator.png	MATCH	4f3d6d82fa78fbdce97af3c17f6a25c683aa3290	1563	lightspeed	a14b5adb1db5c88a3dbd863034035ad88332c522	agents/ai-readiness-estimator-agent/skills/platform-managed/system/plugin-creator/assets/plugin-creator.png
